gene_id	root_1	root_2	root_3	leaf_1	leaf_2	leaf_3	flower_1	flower_2	flower_3	seed_1	seed_2	seed_3
S1	20	20	20	0.1	0.1	0.1	8	8	8	0.1	0.1	0.1
S2	0.1	0.1	0.1	20	20	20	8	8	8	0.1	0.1	0.1
N1	10	10	10	10	10	10	10	10	10	0.1	0.1	0.1
N2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	20	20	20
A1	15	15	15	15	15	15	15	15	15	15	15	15
A2	3	3	3	3	3	3	3	3	3	3	3	3
C1	5	5	5	5	5	5	5	5	5	5	5	5
C2	5	5	5	5	5	5	5	5	5	5	5	5
L1	10	10	10	10	10	10	10	10	10	10	10	10
L2	0	0	0	0	0	0	0	0	0	0	0	0
X1	12	12	12	12	12	12	12	12	12	2	2	2
X2	2	2	2	2	2	2	2	2	2	12	12	12
